((1024, 0.01, 0.05, 128, 2, 8), 3.6652799224647894, -8.910257932667536, 3)
((1024, 0.01, 0.05, 32, 64, 8), 3.6662965296845584, -5.493199440859008, 1)
((1024, 0.01, 0.05, 2, 4, 2), 3.6743351750023003, -6.2881747633223135, 2)
((1024, 0.01, 0.05, 16, 2, 4), 3.6807394377134255, -7.476989093432975, 9)
((1024, 0.01, 0.05, 128, 4, 32), 3.68397389784981, -6.6064899064986955, 29)
((1024, 0.01, 0.05, 32, 4, 4), 3.687549178865771, -6.931702891404229, 18)
((1024, 0.01, 0.05, 128, 4, 4), 3.6879239335813696, -6.544968277350107, 9)
((1024, 0.01, 0.05, 4, 2, 8), 3.714989654787093, -8.51566628983116, 18)
((1024, 0.01, 0.05, 16, 2, 32), 3.71564320040448, -10.430370950811097, 20)
((1024, 0.01, 0.05, 128, 4, 2), 3.716986882299129, -6.048710654551136, 4)
((1024, 0.01, 0.05, 32, 2, 8), 3.7182314891810737, -9.269931204687488, 13)
((1024, 0.01, 0.05, 2, 4, 32), 3.7295147364266836, -7.420044129933154, 10)
((1024, 0.01, 0.05, 4, 4, 16), 3.732117666681428, -7.025963436994878, 4)
((1024, 0.01, 0.05, 2, 8, 2), 3.7546431047276134, -5.24867439688526, 7)
((1024, 0.01, 0.05, 16, 4, 16), 3.7589663539524905, -7.790747178840531, 1)
((1024, 0.01, 0.05, 64, 2, 4), 3.760709636600309, -8.469002425035988, 4)
((1024, 0.01, 0.05, 16, 16, 2), 3.763735769452409, -8.059364073734232, 12)
((1024, 0.01, 0.05, 4, 16, 16), 3.765780063110486, -7.547739066884246, 3)
((1024, 0.01, 0.05, 32, 16, 32), 3.773585369057256, -8.420068364614629, 0)
((1024, 0.01, 0.05, 128, 2, 4), 3.7753276938139546, -6.793006727179842, 17)
((1024, 0.01, 0.05, 32, 16, 8), 3.7798284640847135, -6.816372480338296, 0)
((1024, 0.01, 0.05, 128, 4, 16), 3.7971859427172086, -7.947231324242884, 9)
((1024, 0.01, 0.05, 2, 32, 2), 3.7973232107131842, -6.840810840887469, 4)
((1024, 0.01, 0.05, 16, 8, 8), 3.799550576640289, -5.816163261864347, 5)
