((1024, 0.0001, 0.0005, 128, 64, 4), 3.7388835586843587, -5.500870901382765, 3)
((1024, 0.0001, 0.0005, 4, 128, 32), 3.7632611881785896, -7.164060902296845, 1)
((1024, 0.0001, 0.0005, 16, 64, 16), 3.7826269697412096, -6.185452963105726, 4)
((1024, 0.0001, 0.0005, 128, 128, 16), 3.7853382721682527, -6.240916704657352, 14)
((1024, 0.0001, 0.0005, 16, 128, 16), 3.804140946251333, -7.308257579757472, 14)
((1024, 0.0001, 0.0005, 64, 4, 32), 3.829367582765896, -6.965736362158262, 25)
((1024, 0.0001, 0.0005, 8, 4, 8), 3.832000088135501, -6.4614563949297334, 6)
((1024, 0.0001, 0.0005, 32, 64, 8), 3.8542763747677027, -8.95521966246396, 21)
((1024, 0.0001, 0.0005, 16, 16, 4), 3.865415258584416, -6.474762731155195, 0)
((1024, 0.0001, 0.0005, 32, 128, 32), 3.8811005866764354, -10.585792946781654, 25)
((1024, 0.0001, 0.0005, 64, 4, 2), 3.892434915810257, -6.324225749857553, 2)
((1024, 0.0001, 0.0005, 4, 128, 16), 3.9183756283080458, -6.569673640021329, 9)
((1024, 0.0001, 0.0005, 4, 32, 8), 3.9200895917312404, -6.899103622567948, 0)
((1024, 0.0001, 0.0005, 16, 2, 16), 3.937343043260274, -5.563373661618183, 34)
((1024, 0.0001, 0.0005, 32, 32, 4), 3.951600817645773, -7.660167155726214, 3)
((1024, 0.0001, 0.0005, 4, 2, 8), 3.9647854528498825, -6.883149323276549, 21)
((1024, 0.0001, 0.0005, 2, 16, 8), 3.9685365074133885, -6.579486367854729, 0)
((1024, 0.0001, 0.0005, 64, 128, 32), 3.9708222451649178, -7.641496824955821, 9)
((1024, 0.0001, 0.0005, 16, 4, 4), 3.9935546729981315, -6.984506796091202, 2)
((1024, 0.0001, 0.0005, 128, 32, 8), 4.00968948570885, -6.683107831651336, 12)
((1024, 0.0001, 0.0005, 2, 32, 8), 4.017107259449766, -6.615072153774479, 5)
((1024, 0.0001, 0.0005, 128, 8, 16), 4.033773588040498, -8.777179210404013, 23)
((1024, 0.0001, 0.0005, 32, 64, 16), 4.03595374873757, -8.374754542163842, 6)
((1024, 0.0001, 0.0005, 32, 64, 32), 4.059896709767845, -8.419356836612122, 17)
