((1024, 0.0002, 0.001, 2, 32, 8), 3.8183680184125155, -6.469062789695217, 17)
((1024, 0.0002, 0.001, 2, 64, 4), 3.844866622758742, -7.611337589847226, 8)
((1024, 0.0002, 0.001, 8, 16, 4), 3.875965491770814, -7.231681397725722, 9)
((1024, 0.0002, 0.001, 64, 128, 16), 3.8899785657136166, -6.749153614046092, 5)
((1024, 0.0002, 0.001, 4, 64, 2), 3.900191489742499, -7.935951514450394, 8)
((1024, 0.0002, 0.001, 4, 16, 2), 3.9256555265740865, -6.025312959598818, 10)
((1024, 0.0002, 0.001, 4, 2, 2), 3.936497049253282, -6.119059041205461, 5)
((1024, 0.0002, 0.001, 8, 2, 2), 4.030694641581398, -7.295882808351428, 6)
((1024, 0.0002, 0.001, 32, 8, 2), 4.04898560107259, -6.363901743668749, 33)
((1024, 0.0002, 0.001, 128, 64, 16), 4.0635095161101, -7.535345612120151, 7)
((1024, 0.0002, 0.001, 4, 32, 8), 4.066636370947411, -7.235006452447641, 17)
((1024, 0.0002, 0.001, 128, 128, 16), 4.070484518710229, -6.984773882121843, 2)
((1024, 0.0002, 0.001, 16, 2, 32), 4.077985939995139, -6.620930540234438, 0)
((1024, 0.0002, 0.001, 32, 64, 32), 4.081493373768722, -6.093837577374763, 5)
((1024, 0.0002, 0.001, 8, 16, 2), 4.084396354086759, -8.750108149555787, 15)
((1024, 0.0002, 0.001, 64, 128, 8), 4.087744340179809, -6.535936400084241, 3)
((1024, 0.0002, 0.001, 4, 4, 4), 4.1008296526546415, -7.395377552983114, 1)
((1024, 0.0002, 0.001, 4, 128, 32), 4.114770067986731, -8.98696255151391, 3)
((1024, 0.0002, 0.001, 16, 128, 16), 4.12616823619628, -8.742270294721308, 4)
((1024, 0.0002, 0.001, 2, 32, 32), 4.132921740812201, -6.994931354659526, 7)
((1024, 0.0002, 0.001, 32, 2, 32), 4.148920670210543, -7.236026362645426, 8)
((1024, 0.0002, 0.001, 128, 64, 4), 4.160968610223732, -7.202562234912925, 5)
((1024, 0.0002, 0.001, 4, 64, 32), 4.167018538104265, -8.284288765820532, 17)
((1024, 0.0002, 0.001, 8, 128, 32), 4.167654735681125, -8.582128884627073, 6)
((1024, 0.0002, 0.001, 16, 128, 8), 4.171194690122882, -8.616911465695063, 2)
((1024, 0.0002, 0.001, 4, 128, 2), 4.173593223207471, -8.302291055110578, 6)
((1024, 0.0002, 0.001, 128, 128, 8), 4.183084712748436, -7.287866010474736, 7)
((1024, 0.0002, 0.001, 4, 4, 16), 4.192962228363942, -7.157019947445006, 20)
((1024, 0.0002, 0.001, 4, 4, 32), 4.195567001912702, -7.714053169122914, 1)
((1024, 0.0002, 0.001, 16, 64, 8), 4.199883754669395, -6.89954078344921, 4)
((1024, 0.0002, 0.001, 32, 32, 2), 4.214063043675855, -7.523110706441933, 15)
((1024, 0.0002, 0.001, 128, 8, 8), 4.225540343254323, -6.499807398649667, 2)
((1024, 0.0002, 0.001, 8, 64, 16), 4.238531934282625, -8.002256838055827, 5)
((1024, 0.0002, 0.001, 2, 128, 4), 4.239138798724626, -9.37380171930768, 2)
((1024, 0.0002, 0.001, 4, 16, 4), 4.239649012706649, -9.184246487852905, 15)
((1024, 0.0002, 0.001, 32, 2, 2), 4.239875175074909, -8.40446362322526, 3)
((1024, 0.0002, 0.001, 16, 16, 32), 4.246391175174293, -6.660546683117283, 1)
((1024, 0.0002, 0.001, 8, 2, 4), 4.268246959692689, -7.69545280729036, 0)
((1024, 0.0002, 0.001, 32, 2, 8), 4.268721553274717, -6.88732272567288, 1)
((1024, 0.0002, 0.001, 64, 2, 2), 4.272015118898951, -6.245848948018036, 7)
((1024, 0.0002, 0.001, 128, 128, 4), 4.276426425539005, -6.805956841377757, 9)
((1024, 0.0002, 0.001, 8, 4, 4), 4.289347672886386, -8.53836262677049, 22)
((1024, 0.0002, 0.001, 64, 16, 2), 4.302179827846675, -7.9591274934377765, 21)
((1024, 0.0002, 0.001, 32, 4, 8), 4.308492950386789, -6.867445124538697, 0)
((1024, 0.0002, 0.001, 128, 128, 2), 4.308747594613549, -7.24389495274977, 4)
((1024, 0.0002, 0.001, 2, 64, 8), 4.309149481165483, -9.151143748836901, 9)
((1024, 0.0002, 0.001, 128, 8, 32), 4.309892967167945, -7.85636440367839, 9)
((1024, 0.0002, 0.001, 2, 128, 2), 4.314153691983157, -8.150836472919885, 6)
((1024, 0.0002, 0.001, 8, 4, 8), 4.324747781617154, -8.31880002229738, 8)
((1024, 0.0002, 0.001, 8, 128, 16), 4.337583045437906, -7.940768401591092, 3)
((1024, 0.0002, 0.001, 2, 64, 32), 4.339203001447569, -8.113884578924003, 6)
((1024, 0.0002, 0.001, 8, 64, 8), 4.350127929741701, -8.976457987963846, 3)
((1024, 0.0002, 0.001, 16, 64, 32), 4.35856919159025, -7.058054323274901, 32)
((1024, 0.0002, 0.001, 64, 2, 8), 4.363490709971692, -7.343846332203989, 0)
((1024, 0.0002, 0.001, 16, 64, 4), 4.376173458738463, -7.3750288777985205, 1)
((1024, 0.0002, 0.001, 4, 8, 8), 4.380858019538518, -8.146152125354325, 8)
