((1024, 0.01, 0.05, 4, 8, 32), 3.5912639222872724, -5.363799878114218, 4)
((1024, 0.01, 0.05, 8, 2, 2), 3.6399277904242244, -7.926697401721624, 31)
((1024, 0.01, 0.05, 64, 32, 8), 3.6405835206121058, -5.252089208279906, 4)
((1024, 0.01, 0.05, 32, 8, 32), 3.643712015947985, -6.799163450664041, 10)
((1024, 0.01, 0.05, 8, 2, 32), 3.648761614699055, -6.608591059436135, 5)
((1024, 0.01, 0.05, 16, 8, 2), 3.653819625831297, -5.950883323612474, 1)
((1024, 0.01, 0.05, 32, 4, 2), 3.6627224815933195, -6.860000916655481, 1)
((1024, 0.01, 0.05, 128, 4, 2), 3.6910549843890146, -6.366149425318454, 2)
((1024, 0.01, 0.05, 128, 32, 8), 3.6912041522346923, -5.903638944880165, 1)
((1024, 0.01, 0.05, 32, 2, 32), 3.692708889200996, -7.19347490706312, 29)
((1024, 0.01, 0.05, 4, 2, 8), 3.696128108751533, -8.536391308255716, 18)
((1024, 0.01, 0.05, 8, 2, 8), 3.7009914571795632, -6.595846707511457, 4)
((1024, 0.01, 0.05, 32, 128, 16), 3.703998650164954, -6.247146273325449, 4)
((1024, 0.01, 0.05, 16, 4, 32), 3.7089233467778997, -8.05173384765268, 11)
((1024, 0.01, 0.05, 4, 16, 16), 3.717320141058175, -7.1088826827235385, 1)
((1024, 0.01, 0.05, 32, 8, 2), 3.768897703751686, -7.359876073858553, 18)
((1024, 0.01, 0.05, 16, 8, 4), 3.775651837140212, -6.407612298230197, 5)
((1024, 0.01, 0.05, 2, 4, 2), 3.780174367284789, -7.888400634013345, 11)
((1024, 0.01, 0.05, 32, 16, 8), 3.798809494512704, -6.354621424610614, 12)
((1024, 0.01, 0.05, 16, 4, 4), 3.8032140207393423, -9.820576829567484, 11)
((1024, 0.01, 0.05, 4, 16, 32), 3.8041035353912376, -6.787612182689139, 2)
((1024, 0.01, 0.05, 16, 4, 2), 3.804360595803394, -8.991559926991227, 12)
((1024, 0.01, 0.05, 16, 2, 2), 3.811300673675445, -9.481697200837429, 7)
((1024, 0.01, 0.05, 64, 32, 32), 3.822243846897294, -7.224702920966926, 6)
((1024, 0.01, 0.05, 64, 4, 4), 3.8308950437582023, -8.022264507379154, 5)
((1024, 0.01, 0.05, 4, 2, 16), 3.832000682470123, -8.704534176825696, 10)
((1024, 0.01, 0.05, 2, 2, 4), 3.8328149582455424, -6.346216193816138, 1)
((1024, 0.01, 0.05, 128, 16, 16), 3.844127958525446, -6.423225083056069, 1)
((1024, 0.01, 0.05, 32, 16, 32), 3.8442329981584753, -7.858399467166507, 0)
((1024, 0.01, 0.05, 128, 8, 4), 3.848786043383727, -9.371732614392073, 11)
((1024, 0.01, 0.05, 32, 2, 8), 3.8498724779368083, -9.608791431883786, 22)
((1024, 0.01, 0.05, 16, 2, 4), 3.850050221212521, -9.34039191637622, 17)
((1024, 0.01, 0.05, 64, 4, 8), 3.867577927001316, -6.85648813072963, 15)
((1024, 0.01, 0.05, 64, 4, 32), 3.8698091898026523, -9.891251279891916, 6)
((1024, 0.01, 0.05, 4, 16, 8), 3.8733970349439404, -6.05573460581677, 17)
((1024, 0.01, 0.05, 32, 32, 2), 3.8868498371346902, -6.22723240212487, 2)
((1024, 0.01, 0.05, 128, 2, 32), 3.8875955101096555, -7.7234590107498615, 6)
((1024, 0.01, 0.05, 32, 32, 32), 3.8880890422542453, -7.52246672993955, 2)
