((1024, 1e-06, 0.0005, 64, 16, 16), 0.342066681818727)
((1024, 0.0001, 5e-06, 32, 128, 32), 0.34622123728010756)
((1024, 0.0001, 5e-06, 64, 32, 32), 0.34879236524157514)
((1024, 1e-05, 5e-05, 64, 16, 16), 0.3492133110691311)
((1024, 1e-05, 5e-05, 128, 64, 32), 0.3511942721555335)
((1024, 1e-05, 5e-05, 32, 64, 32), 0.3512483777557965)
((1024, 1e-05, 5e-06, 128, 32, 8), 0.35556977412616053)
((1024, 1e-05, 5e-05, 16, 32, 16), 0.3562704240519825)
((1024, 1e-06, 0.0005, 64, 128, 4), 0.35640564991384854)
((1024, 0.0001, 5e-06, 32, 64, 8), 0.3611739912574628)
((1024, 0.0001, 0.0005, 64, 128, 8), 0.3617127226003568)
((1024, 1e-05, 0.0005, 64, 32, 32), 0.3617393350865233)
((1024, 1e-05, 0.0005, 16, 16, 16), 0.3619181597749975)
((1024, 1e-05, 0.0005, 64, 32, 4), 0.36224877245132464)
((1024, 1e-06, 5e-05, 16, 16, 8), 0.3635919152724141)
((1024, 1e-05, 0.0005, 32, 32, 8), 0.3648492062530287)
((1024, 1e-05, 0.0005, 64, 128, 16), 0.36490129257590037)
((1024, 1e-05, 5e-05, 128, 32, 32), 0.36519117955804764)
((1024, 0.0001, 0.0005, 128, 16, 4), 0.366686604369805)
((1024, 1e-05, 0.0005, 64, 128, 4), 0.3670998734279412)
((1024, 1e-05, 5e-06, 32, 64, 4), 0.3672858910761781)
((1024, 0.0001, 0.0005, 16, 32, 8), 0.3679005588024955)
((1024, 1e-06, 5e-06, 64, 32, 8), 0.36862638696770067)
((1024, 0.0001, 5e-05, 16, 16, 16), 0.3714033946103867)
((1024, 0.0001, 0.0005, 64, 16, 8), 0.3716064361434955)
((1024, 1e-05, 5e-06, 64, 32, 16), 0.37221762623458543)
((1024, 0.0001, 5e-05, 64, 32, 16), 0.3725760256616868)
((1024, 1e-06, 5e-06, 128, 32, 16), 0.3729211301741556)
((1024, 0.0001, 0.0005, 64, 64, 32), 0.37344344371224725)
((1024, 1e-05, 5e-05, 64, 32, 32), 0.3736859740294676)
((1024, 1e-06, 5e-06, 32, 32, 4), 0.37382850903705245)
((1024, 0.0001, 0.0005, 64, 128, 16), 0.3748896260886209)
((1024, 1e-05, 5e-06, 16, 128, 8), 0.3749660793771933)
((1024, 1e-06, 5e-05, 16, 16, 32), 0.3750455989902977)
((1024, 0.0001, 5e-05, 16, 128, 4), 0.3765566174018293)
((1024, 1e-05, 0.0005, 128, 32, 16), 0.3765816616392779)
((1024, 0.0001, 5e-06, 64, 32, 16), 0.3769697380105518)
((1024, 1e-05, 5e-05, 64, 128, 8), 0.37739760196761624)
((1024, 1e-06, 5e-06, 64, 128, 4), 0.37826326979363356)
((1024, 1e-06, 5e-06, 32, 128, 32), 0.3784045373372837)
((1024, 0.0001, 0.0005, 16, 32, 4), 0.3791430806945758)
((1024, 1e-06, 5e-06, 32, 64, 4), 0.37918852540019043)
((1024, 1e-05, 0.0005, 32, 16, 4), 0.37953748828378964)
((1024, 0.0001, 5e-05, 32, 16, 32), 0.3795889650846371)
((1024, 0.0001, 5e-05, 128, 32, 8), 0.37992165600495065)
((1024, 0.0001, 5e-06, 16, 64, 16), 0.38157922367092934)
((1024, 1e-05, 0.0005, 128, 128, 4), 0.38165460608854934)
((1024, 0.0001, 5e-06, 64, 64, 4), 0.38256248766529655)
((1024, 1e-06, 5e-05, 128, 16, 32), 0.38274639803494864)
((1024, 1e-05, 5e-06, 64, 16, 32), 0.3833045257505131)
((1024, 0.0001, 5e-06, 128, 64, 8), 0.3833976026078759)
((1024, 0.0001, 0.0005, 16, 64, 32), 0.3837791854744736)
((1024, 0.0001, 5e-05, 16, 64, 16), 0.3840237258708006)
((1024, 1e-06, 5e-05, 16, 64, 32), 0.38442986808027724)
((1024, 0.0001, 0.0005, 64, 64, 16), 0.3844619915242173)
((1024, 0.0001, 5e-06, 32, 64, 16), 0.38615229573477994)
((1024, 0.0001, 0.0005, 64, 32, 16), 0.386524370168847)
((1024, 0.0001, 0.0005, 64, 16, 4), 0.38675083221525197)
((1024, 0.0001, 5e-06, 128, 128, 16), 0.3870390509001554)
((1024, 1e-05, 5e-05, 16, 128, 16), 0.3873777108092617)
((1024, 0.0001, 0.0005, 128, 64, 16), 0.3874918992946928)
((1024, 0.0001, 5e-05, 64, 128, 8), 0.38752756819046447)
((1024, 0.0001, 0.0005, 16, 128, 8), 0.3876698393816273)
((1024, 1e-06, 0.0005, 128, 64, 8), 0.38807059747174805)
((1024, 1e-06, 5e-06, 32, 32, 8), 0.3886103557858292)
((1024, 0.0001, 5e-05, 128, 32, 32), 0.38933525518958206)
((1024, 0.0001, 5e-06, 32, 16, 16), 0.38950681482137717)
((1024, 1e-06, 5e-05, 16, 32, 16), 0.3908665039537121)
((1024, 1e-06, 5e-05, 64, 32, 16), 0.3909000585976864)
((1024, 0.0001, 5e-05, 16, 16, 8), 0.39157691122724514)
